,OPEN,CLOSE,TRADEDATE
145,51.0,52.06,2016-01-19
146,51.85,52.0,2016-01-20
147,52.44,50.99,2016-01-21
148,52.3,52.03,2016-01-22
149,52.6,51.1,2016-01-25
150,50.9,51.28,2016-01-26
151,51.49,50.99,2016-01-27
152,51.0,50.89,2016-01-28
153,51.2,50.5,2016-01-29
154,50.95,54.77,2016-02-01
155,54.4,54.1,2016-02-02
156,54.0,53.84,2016-02-03
157,54.1,54.89,2016-02-04
158,54.7,57.3,2016-02-05
159,57.3,57.35,2016-02-08
160,57.5,56.66,2016-02-09
161,56.5,55.8,2016-02-10
162,55.52,53.64,2016-02-11
163,53.9,54.41,2016-02-12
164,54.94,53.88,2016-02-15
165,54.5,54.13,2016-02-16
166,54.4,53.59,2016-02-17
167,54.3,54.15,2016-02-18
168,54.15,53.32,2016-02-19
169,53.4,53.4,2016-02-20
170,53.69,54.8,2016-02-22
171,54.07,53.7,2016-02-24
172,53.89,54.05,2016-02-25
173,54.33,55.35,2016-02-26
174,55.45,57.1,2016-02-29
175,57.2,61.19,2016-03-01
176,61.8,61.1,2016-03-02
177,61.16,61.61,2016-03-03
178,61.77,65.49,2016-03-04
179,66.15,65.94,2016-03-07
180,65.8,62.45,2016-03-09
181,62.6,63.77,2016-03-10
182,65.0,64.77,2016-03-11
183,65.0,65.55,2016-03-14
184,65.48,66.3,2016-03-15
185,66.97,69.98,2016-03-16
186,70.0,70.19,2016-03-17
187,70.78,70.51,2016-03-18
188,70.71,73.53,2016-03-21
189,74.1,73.69,2016-03-22
190,73.14,72.94,2016-03-23
191,72.9,73.76,2016-03-24
192,74.1,73.21,2016-03-25
193,73.6,72.6,2016-03-28
194,72.75,73.69,2016-03-29
195,74.16,74.1,2016-03-30
196,74.1,74.48,2016-03-31
197,74.25,74.55,2016-04-01
198,74.89,74.65,2016-04-04
199,74.65,75.4,2016-04-05
200,75.3,79.14,2016-04-06
201,78.85,78.0,2016-04-07
202,78.0,79.0,2016-04-08
203,78.93,82.2,2016-04-11
204,82.2,79.32,2016-04-12
205,79.55,78.55,2016-04-13
206,78.41,78.63,2016-04-14
207,77.84,78.0,2016-04-15
208,77.08,76.68,2016-04-18
209,77.1,77.62,2016-04-19
210,77.7,77.26,2016-04-20
211,78.0,74.8,2016-04-21
212,75.15,78.21,2016-04-22
213,78.59,76.28,2016-04-25
214,76.28,75.16,2016-04-26
215,75.3,75.0,2016-04-27
216,75.3,76.04,2016-04-28
217,76.18,77.48,2016-04-29
218,77.0,76.89,2016-05-04
219,77.74,78.4,2016-05-05
220,78.37,78.5,2016-05-06
221,78.27,79.87,2016-05-10
222,79.45,78.9,2016-05-11
223,79.2,81.0,2016-05-12
224,80.6,80.51,2016-05-13
225,80.63,81.8,2016-05-16
226,82.2,80.56,2016-05-17
227,80.7,78.69,2016-05-18
228,78.0,78.1,2016-05-19
229,78.05,78.8,2016-05-20
230,78.5,81.18,2016-05-23
231,81.0,81.5,2016-05-24
232,81.1,80.6,2016-05-25
233,80.7,82.68,2016-05-26
234,82.95,81.0,2016-05-27
235,81.71,81.01,2016-05-30
236,81.03,81.7,2016-05-31
237,82.49,83.0,2016-06-01
238,82.98,84.4,2016-06-02
239,84.69,88.2,2016-06-03
240,88.47,87.92,2016-06-06
241,88.04,86.53,2016-06-07
242,86.51,84.04,2016-06-08
243,84.79,85.0,2016-06-09
244,84.61,83.92,2016-06-10
245,82.92,83.99,2016-06-14
246,83.85,84.47,2016-06-15
247,84.76,87.0,2016-06-16
248,87.0,84.7,2016-06-17
249,85.0,85.9,2016-06-20
250,85.8,83.52,2016-06-21
251,84.3,84.17,2016-06-22
252,84.9,85.7,2016-06-23
253,83.85,83.42,2016-06-24
254,83.45,83.0,2016-06-27
255,83.24,81.2,2016-06-28
256,81.04,83.41,2016-06-29
257,83.42,85.5,2016-06-30
258,85.49,86.01,2016-07-01
259,86.24,85.17,2016-07-04
260,85.11,86.48,2016-07-05
261,86.5,86.45,2016-07-06
262,86.5,87.44,2016-07-07
263,86.79,89.0,2016-07-08
264,89.0,87.73,2016-07-11
265,87.88,89.79,2016-07-12
266,89.01,90.46,2016-07-13
267,90.88,87.78,2016-07-14
268,87.78,87.18,2016-07-15
269,88.27,86.9,2016-07-18
270,87.75,87.58,2016-07-19
271,86.8,86.86,2016-07-20
272,87.5,85.2,2016-07-21
273,85.22,86.88,2016-07-22
274,87.5,86.6,2016-07-25
275,87.0,86.1,2016-07-26
276,86.2,85.4,2016-07-27
277,86.1,86.08,2016-07-28
278,86.19,85.7,2016-07-29
279,85.75,86.25,2016-08-01
280,86.05,86.0,2016-08-02
281,86.04,86.5,2016-08-03
282,86.37,86.55,2016-08-04
283,86.72,87.0,2016-08-05
284,87.2,86.0,2016-08-08
285,86.0,86.0,2016-08-09
286,86.4,85.45,2016-08-10
287,85.4,85.5,2016-08-11
288,85.99,85.79,2016-08-12
289,86.0,85.25,2016-08-15
290,85.12,83.6,2016-08-16
291,83.59,82.37,2016-08-17
292,82.52,83.39,2016-08-18
293,83.44,83.25,2016-08-19
294,83.25,82.95,2016-08-22
295,83.4,85.18,2016-08-23
296,85.01,88.23,2016-08-24
297,88.4,90.99,2016-08-25
298,90.99,94.0,2016-08-26
