,OPEN,CLOSE,TRADEDATE
76,78.31,79.65,2015-10-07
77,79.15,83.11,2015-10-08
78,83.88,85.77,2015-10-09
79,85.8,85.45,2015-10-12
80,84.86,85.0,2015-10-13
81,84.48,86.81,2015-10-14
82,86.99,87.7,2015-10-15
83,88.57,88.52,2015-10-16
84,88.5,87.07,2015-10-19
85,86.96,88.14,2015-10-20
86,87.99,86.95,2015-10-21
87,86.63,86.53,2015-10-22
88,87.22,90.45,2015-10-23
89,90.89,92.3,2015-10-26
90,91.9,89.0,2015-10-27
91,89.0,90.05,2015-10-28
92,89.73,88.6,2015-10-29
93,88.75,90.53,2015-10-30
94,90.25,93.65,2015-11-02
95,93.89,95.4,2015-11-03
96,96.0,95.5,2015-11-05
97,95.5,94.09,2015-11-06
98,94.5,92.95,2015-11-09
99,92.78,94.35,2015-11-10
100,94.2,94.0,2015-11-11
101,93.4,94.29,2015-11-12
102,93.4,93.4,2015-11-13
103,93.01,95.8,2015-11-16
104,96.52,102.5,2015-11-17
105,102.78,104.0,2015-11-18
106,104.7,104.86,2015-11-19
107,104.35,107.3,2015-11-20
108,106.88,109.98,2015-11-23
109,109.81,105.6,2015-11-24
110,106.3,108.51,2015-11-25
111,108.77,106.48,2015-11-26
112,105.74,104.55,2015-11-27
113,103.9,102.9,2015-11-30
114,103.5,101.3,2015-12-01
115,101.48,102.5,2015-12-02
116,101.9,104.0,2015-12-03
117,103.7,103.05,2015-12-04
118,103.45,103.0,2015-12-07
119,102.8,97.0,2015-12-08
120,97.47,100.66,2015-12-09
121,100.3,100.13,2015-12-10
122,99.89,98.15,2015-12-11
123,97.58,97.7,2015-12-14
124,98.5,100.0,2015-12-15
125,100.25,102.45,2015-12-16
126,102.95,103.75,2015-12-17
127,103.05,98.81,2015-12-18
128,98.9,98.73,2015-12-21
129,99.5,99.8,2015-12-22
130,100.15,102.96,2015-12-23
131,103.75,101.35,2015-12-24
132,101.83,101.34,2015-12-25
133,101.2,100.2,2015-12-28
134,100.49,101.82,2015-12-29
135,101.67,101.26,2015-12-30
136,101.0,98.01,2016-01-04
137,97.88,98.89,2016-01-05
138,98.7,96.85,2016-01-06
139,93.61,91.03,2016-01-11
140,89.09,91.71,2016-01-12
141,92.75,91.5,2016-01-13
142,91.0,93.04,2016-01-14
143,92.44,87.27,2016-01-15
144,86.01,86.15,2016-01-18
145,87.39,86.68,2016-01-19
146,84.89,83.83,2016-01-20
147,84.25,86.0,2016-01-21
148,88.97,91.5,2016-01-22
149,92.55,91.0,2016-01-25
150,89.06,91.5,2016-01-26
151,91.98,95.75,2016-01-27
152,95.77,96.69,2016-01-28
153,97.47,96.5,2016-01-29
154,96.27,96.5,2016-02-01
155,95.7,94.4,2016-02-02
156,93.91,94.53,2016-02-03
157,98.56,97.57,2016-02-04
158,97.01,97.2,2016-02-05
159,97.05,94.7,2016-02-08
160,94.0,93.89,2016-02-09
161,93.5,96.35,2016-02-10
162,95.71,94.2,2016-02-11
163,95.14,94.85,2016-02-12
164,96.0,95.25,2016-02-15
165,95.99,96.51,2016-02-16
166,96.51,99.2,2016-02-17
167,99.9,102.7,2016-02-18
168,101.99,101.5,2016-02-19
169,101.61,102.39,2016-02-20
170,102.57,103.2,2016-02-22
171,102.0,102.1,2016-02-24
172,102.65,104.05,2016-02-25
173,105.0,106.24,2016-02-26
174,105.5,107.0,2016-02-29
175,107.5,108.26,2016-03-01
176,109.0,106.12,2016-03-02
177,106.7,106.99,2016-03-03
178,107.7,108.99,2016-03-04
179,109.62,109.47,2016-03-07
180,108.99,108.15,2016-03-09
181,108.26,108.84,2016-03-10
182,109.2,109.26,2016-03-11
183,109.28,109.26,2016-03-14
184,109.6,106.46,2016-03-15
185,107.2,107.0,2016-03-16
186,107.8,109.47,2016-03-17
187,109.59,112.4,2016-03-18
188,111.5,112.07,2016-03-21
189,112.27,111.49,2016-03-22
190,111.27,109.1,2016-03-23
191,108.59,108.06,2016-03-24
192,108.62,109.1,2016-03-25
193,110.0,108.12,2016-03-28
194,107.91,107.05,2016-03-29
195,107.98,109.15,2016-03-30
196,108.72,109.9,2016-03-31
197,109.3,108.52,2016-04-01
198,108.21,108.2,2016-04-04
199,107.24,106.87,2016-04-05
200,107.63,108.0,2016-04-06
201,108.99,108.51,2016-04-07
202,108.98,112.92,2016-04-08
203,113.0,117.35,2016-04-11
204,117.27,117.95,2016-04-12
205,118.1,119.5,2016-04-13
206,119.01,119.3,2016-04-14
207,118.95,119.3,2016-04-15
208,117.12,118.2,2016-04-18
209,118.9,121.5,2016-04-19
210,120.5,123.75,2016-04-20
211,124.99,119.17,2016-04-21
212,119.68,121.25,2016-04-22
213,121.01,120.08,2016-04-25
214,119.98,119.7,2016-04-26
215,120.25,120.8,2016-04-27
216,121.31,124.39,2016-04-28
217,124.43,123.55,2016-04-29
218,121.5,120.96,2016-05-04
219,121.46,120.92,2016-05-05
220,120.27,120.64,2016-05-06
221,119.8,119.55,2016-05-10
222,120.01,123.45,2016-05-11
223,123.46,121.2,2016-05-12
224,121.5,121.07,2016-05-13
225,122.2,122.6,2016-05-16
226,122.85,122.71,2016-05-17
227,122.49,123.12,2016-05-18
228,121.96,120.5,2016-05-19
229,121.83,121.9,2016-05-20
230,121.3,121.51,2016-05-23
231,121.45,123.5,2016-05-24
232,124.45,127.87,2016-05-25
233,128.54,132.16,2016-05-26
234,131.62,133.2,2016-05-27
235,133.51,134.45,2016-05-30
236,134.79,132.56,2016-05-31
237,132.36,131.36,2016-06-01
238,131.51,132.3,2016-06-02
239,133.07,131.59,2016-06-03
240,132.08,133.99,2016-06-06
241,134.5,139.97,2016-06-07
242,141.12,139.39,2016-06-08
243,139.9,139.61,2016-06-09
244,137.8,133.5,2016-06-10
245,131.22,127.08,2016-06-14
246,126.9,129.89,2016-06-15
247,129.0,127.1,2016-06-16
248,128.66,128.7,2016-06-17
249,132.45,132.13,2016-06-20
250,132.1,133.39,2016-06-21
251,134.61,134.81,2016-06-22
252,134.42,138.0,2016-06-23
253,131.5,133.4,2016-06-24
254,133.9,126.2,2016-06-27
255,127.85,129.57,2016-06-28
256,130.63,133.88,2016-06-29
257,133.65,133.0,2016-06-30
258,133.38,133.85,2016-07-01
259,134.65,134.6,2016-07-04
260,133.9,131.85,2016-07-05
261,131.51,129.36,2016-07-06
262,130.49,131.8,2016-07-07
263,130.63,134.41,2016-07-08
264,134.92,137.2,2016-07-11
265,137.55,140.4,2016-07-12
266,140.29,139.4,2016-07-13
267,140.0,140.0,2016-07-14
268,139.39,138.12,2016-07-15
269,138.43,139.93,2016-07-18
270,139.75,139.47,2016-07-19
271,139.55,138.57,2016-07-20
272,139.3,138.5,2016-07-21
273,137.86,137.8,2016-07-22
274,138.2,136.0,2016-07-25
275,136.2,135.75,2016-07-26
276,136.1,136.9,2016-07-27
277,137.0,136.85,2016-07-28
