,OPEN,CLOSE,TRADEDATE
101,91.0,87.28,2015-11-12
102,87.02,87.24,2015-11-13
103,86.98,91.0,2015-11-16
104,91.09,94.4,2015-11-17
105,93.9,93.5,2015-11-18
106,93.94,93.09,2015-11-19
107,93.05,92.89,2015-11-20
108,93.0,94.01,2015-11-23
109,94.15,93.94,2015-11-24
110,93.87,94.05,2015-11-25
111,94.39,94.8,2015-11-26
112,94.6,97.0,2015-11-27
113,96.8,94.5,2015-11-30
114,94.51,96.0,2015-12-01
115,95.41,94.69,2015-12-02
116,94.35,94.02,2015-12-03
117,94.35,93.8,2015-12-04
118,93.51,93.59,2015-12-07
119,93.24,90.25,2015-12-08
120,90.75,88.3,2015-12-09
121,88.4,89.27,2015-12-10
122,89.37,90.7,2015-12-11
123,90.22,88.8,2015-12-14
124,89.3,94.9,2015-12-15
125,94.9,92.3,2015-12-16
126,92.76,94.21,2015-12-17
127,94.0,94.82,2015-12-18
128,94.5,96.0,2015-12-21
129,96.22,95.75,2015-12-22
130,95.98,96.5,2015-12-23
131,96.6,95.57,2015-12-24
132,95.56,94.72,2015-12-25
133,94.79,93.55,2015-12-28
134,93.69,93.62,2015-12-29
135,93.65,91.4,2015-12-30
136,91.32,91.85,2016-01-04
137,91.83,94.3,2016-01-05
138,94.34,94.44,2016-01-06
139,92.25,94.5,2016-01-11
140,94.4,93.75,2016-01-12
141,93.89,91.6,2016-01-13
142,91.87,91.65,2016-01-14
143,91.65,86.59,2016-01-15
144,85.9,90.15,2016-01-18
145,92.11,90.45,2016-01-19
146,89.58,90.21,2016-01-20
147,90.67,90.0,2016-01-21
148,91.12,90.28,2016-01-22
149,90.77,90.0,2016-01-25
150,89.9,90.0,2016-01-26
151,90.27,93.65,2016-01-27
152,93.4,92.7,2016-01-28
153,93.0,95.99,2016-01-29
154,95.25,96.5,2016-02-01
155,96.15,96.2,2016-02-02
156,95.8,99.6,2016-02-03
157,95.0,92.3,2016-02-04
158,93.19,93.03,2016-02-05
159,93.39,91.14,2016-02-08
160,91.25,91.09,2016-02-09
161,90.8,90.95,2016-02-10
162,91.0,89.0,2016-02-11
163,89.81,89.58,2016-02-12
164,90.3,90.4,2016-02-15
165,90.75,91.0,2016-02-16
166,91.05,91.0,2016-02-17
167,91.3,92.47,2016-02-18
168,92.11,89.95,2016-02-19
169,90.2,90.48,2016-02-20
170,90.6,92.09,2016-02-22
171,91.4,93.2,2016-02-24
172,93.26,95.09,2016-02-25
173,95.16,96.81,2016-02-26
174,96.08,99.0,2016-02-29
175,99.0,97.8,2016-03-01
176,98.25,97.6,2016-03-02
177,98.5,97.7,2016-03-03
178,98.6,99.0,2016-03-04
179,99.41,100.5,2016-03-07
180,100.0,99.9,2016-03-09
181,99.76,101.92,2016-03-10
182,102.38,101.4,2016-03-11
183,101.02,103.85,2016-03-14
184,103.95,103.7,2016-03-15
185,102.85,105.7,2016-03-16
186,106.11,105.78,2016-03-17
187,106.03,105.2,2016-03-18
188,105.88,104.25,2016-03-21
189,104.44,103.49,2016-03-22
190,103.0,104.49,2016-03-23
191,104.2,104.6,2016-03-24
192,105.1,104.88,2016-03-25
193,104.88,103.18,2016-03-28
194,103.0,100.91,2016-03-29
195,101.35,101.81,2016-03-30
196,101.81,105.05,2016-03-31
197,104.7,105.05,2016-04-01
198,105.0,103.52,2016-04-04
199,103.06,102.4,2016-04-05
200,103.0,102.67,2016-04-06
201,103.19,103.0,2016-04-07
202,103.2,104.2,2016-04-08
203,104.48,104.55,2016-04-11
204,104.21,104.9,2016-04-12
205,104.9,104.9,2016-04-13
206,104.31,103.47,2016-04-14
